input name,score,in-zone-traffic score,deviation score,slice score,max deviation,mean deviation,SD of deviation
2 zones with no endpoints,62.9980,33.3333,99.1616,50.0000,1.0101%,0.6667%,0.0097
1 zone with no endpoints,79.6646,66.6667,99.1616,66.6667,1.0101%,0.6667%,0.0097
2 zones with few endpoints,73.3333,50.0000,100.0000,66.6667,0.0000%,0.0000%,0.0000
balanced minimal endpoints,86.6667,100.0000,100.0000,33.3333,0.0000%,0.0000%,0.0000
unbalanced minimal endpoints,73.3333,66.6667,100.0000,33.3333,0.0000%,0.0000%,0.0000
only 1 endpoint,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
only 2 endpoint,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
somewhat balanced small,79.5238,100.0000,82.1429,33.3333,16.6667%,19.0476%,0.2708
somewhat balanced medium,83.8065,96.6667,96.1828,33.3333,3.3333%,4.3011%,0.0622
somewhat balanced large,92.2222,97.2222,100.0000,66.6667,0.0000%,0.0000%,0.0000
somewhat balanced huge,97.2964,95.7091,99.9128,95.2381,0.1047%,0.0697%,0.0010
balanced endpoints - uneven nodes,86.6667,100.0000,100.0000,33.3333,0.0000%,0.0000%,0.0000
unbalanced endpoints - uneven nodes,85.1437,80.8559,98.6700,66.6667,1.8519%,0.8081%,0.0130
mostly balanced small - uneven nodes,68.7619,86.6667,68.5714,33.3333,40.0000%,22.8571%,0.3544
mostly balanced medium - uneven nodes,84.0127,94.6809,98.6842,33.3333,1.0638%,1.5677%,0.0237
mostly balanced large - uneven nodes,94.2816,98.5400,99.6640,75.0000,0.3749%,0.2972%,0.0043
perfectly balanced small,86.6667,100.0000,100.0000,33.3333,0.0000%,0.0000%,0.0000
perfectly balanced medium,86.6667,100.0000,100.0000,33.3333,0.0000%,0.0000%,0.0000
perfectly balanced large,96.0000,100.0000,100.0000,80.0000,0.0000%,0.0000%,0.0000
