input name,score,in-zone-traffic score,deviation score,slice score,max deviation,mean deviation,SD of deviation
2 zones with no endpoints,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
1 zone with no endpoints,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
2 zones with few endpoints,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
balanced minimal endpoints,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
unbalanced minimal endpoints,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
only 1 endpoint,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
only 2 endpoint,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
somewhat balanced small,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
somewhat balanced medium,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
somewhat balanced large,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
somewhat balanced huge,73.3333,33.3333,100.0000,100.0000,0.0000%,0.0000%,0.0000
balanced endpoints - uneven nodes,74.3210,35.8025,100.0000,100.0000,0.0000%,0.0000%,0.0000
unbalanced endpoints - uneven nodes,75.5556,38.8889,100.0000,100.0000,0.0000%,0.0000%,0.0000
mostly balanced small - uneven nodes,72.5714,31.4286,100.0000,100.0000,0.0000%,0.0000%,0.0000
mostly balanced medium - uneven nodes,74.1097,35.2744,100.0000,100.0000,0.0000%,0.0000%,0.0000
mostly balanced large - uneven nodes,73.5367,33.8416,100.0000,100.0000,0.0000%,0.0000%,0.0000
perfectly balanced small,75.5556,38.8889,100.0000,100.0000,0.0000%,0.0000%,0.0000
perfectly balanced medium,73.4068,33.5170,100.0000,100.0000,0.0000%,0.0000%,0.0000
perfectly balanced large,73.5802,33.9506,100.0000,100.0000,0.0000%,0.0000%,0.0000
